FIPS,total_pop,prop_vaccine_intent,prop_vaccine_intent_lower,prop_vaccine_intent_upper
47115,28639.0,0.28,0.27,0.3
47117,33708.0,0.23,0.21,0.25
47119,94615.0,0.27,0.26,0.28
47121,12237.0,0.24,0.2,0.28
47123,46413.0,0.24,0.22,0.26
47125,204992.0,0.19,0.19,0.2
47127,6396.0,0.27,0.2,0.33
47129,21538.0,0.23,0.21,0.26
47131,30343.0,0.19,0.17,0.22
47133,22171.0,0.16,0.15,0.18
47135,8020.0,0.18,0.14,0.22
47137,5068.0,0.18,0.13,0.24
47139,16807.0,0.24,0.2,0.27
47141,78542.0,0.2,0.19,0.21
47143,32964.0,0.23,0.21,0.25
47145,53331.0,0.27,0.26,0.29
47147,70982.0,0.2,0.19,0.2
47149,324139.0,0.25,0.24,0.26
47151,22020.0,0.16,0.14,0.18
47153,14936.0,0.18,0.15,0.2
47155,98007.0,0.27,0.25,0.28
47157,936611.0,0.22,0.22,0.22
47159,19926.0,0.22,0.19,0.25
47161,13553.0,0.18,0.15,0.21
47163,157707.0,0.25,0.24,0.26
47165,187680.0,0.27,0.27,0.28
47167,61562.0,0.25,0.23,0.27
47169,10910.0,0.22,0.18,0.26
47171,17821.0,0.24,0.21,0.27
47173,19678.0,0.24,0.2,0.28
47175,5813.0,0.16,0.11,0.21
47177,40971.0,0.18,0.16,0.19
47179,128874.0,0.25,0.24,0.26
47181,16638.0,0.22,0.18,0.26
47183,33377.0,0.23,0.2,0.25
47185,27087.0,0.22,0.2,0.24
47187,232380.0,0.32,0.31,0.33
47189,140604.0,0.27,0.26,0.27
48001,57917.0,0.22,0.2,0.25
48003,18227.0,0.14,0.11,0.16
48005,87119.0,0.22,0.21,0.23
48007,24220.0,0.3,0.28,0.33
48009,8754.0,0.16,0.15,0.18
48011,1950.0,0.04,0.01,0.06
48013,50194.0,0.23,0.21,0.25
48015,29892.0,0.21,0.19,0.23
48017,6916.0,0.15,0.1,0.19
48019,22770.0,0.25,0.23,0.27
48021,86839.0,0.28,0.27,0.3
48023,3560.0,0.16,0.11,0.21
48025,32609.0,0.17,0.15,0.19
48027,355700.0,0.2,0.2,0.21
48029,1978826.0,0.25,0.24,0.25
48031,11733.0,0.29,0.25,0.33
48033,653.0,,,
48035,18428.0,0.16,0.13,0.18
48037,93622.0,0.2,0.19,0.21
48039,368062.0,0.22,0.22,0.23
48041,226370.0,0.23,0.23,0.24
48043,9231.0,0.15,0.12,0.18
48045,1348.0,,,
48047,7100.0,0.15,0.09,0.22
48049,37805.0,0.2,0.19,0.22
48051,18237.0,0.22,0.19,0.25
48053,47548.0,0.27,0.25,0.28
48055,42817.0,0.26,0.23,0.28
48057,21470.0,0.24,0.21,0.26
48059,13959.0,0.2,0.16,0.24
48061,422135.0,0.24,0.23,0.24
48063,12938.0,0.22,0.17,0.26
48065,5957.0,0.17,0.13,0.2
48067,30002.0,0.2,0.18,0.23
48069,7561.0,0.14,0.08,0.2
48071,42571.0,0.2,0.18,0.22
48073,52341.0,0.2,0.19,0.22
48075,7219.0,0.14,0.1,0.18
48077,10444.0,0.15,0.12,0.18
48079,2860.0,,,
48081,3298.0,0.21,0.12,0.31
48083,8281.0,0.16,0.12,0.19
48085,1006038.0,0.29,0.28,0.29
48087,2939.0,0.2,0.12,0.29
48089,21357.0,0.21,0.19,0.24
48091,148921.0,0.32,0.31,0.33
48093,13597.0,0.2,0.17,0.23
48095,3018.0,0.16,0.08,0.23
48097,40428.0,0.21,0.19,0.23
48099,75576.0,0.16,0.15,0.17
48101,1624.0,0.11,0.04,0.18
48103,4739.0,0.17,0.1,0.24
48105,3393.0,0.19,0.12,0.26
48107,5753.0,0.13,0.05,0.22
48109,2183.0,0.15,0.08,0.22
48111,7272.0,0.13,0.1,0.15
48113,2622634.0,0.26,0.26,0.26
48115,12849.0,0.16,0.12,0.19
48117,18617.0,0.18,0.15,0.21
48119,5277.0,0.26,0.17,0.36
48121,861690.0,0.26,0.26,0.26
48123,20217.0,0.21,0.18,0.23
48125,2182.0,0.1,0.03,0.18
48127,10232.0,0.14,0.1,0.17
48129,3317.0,0.18,0.1,0.25
48131,11194.0,0.15,0.1,0.19
48133,18289.0,0.19,0.16,0.21
48135,162067.0,0.16,0.15,0.16
48137,1944.0,0.15,0.07,0.24
48139,179484.0,0.24,0.23,0.24
48141,836915.0,0.23,0.22,0.23
48143,42226.0,0.19,0.18,0.21
48145,17281.0,0.17,0.13,0.21
48147,35046.0,0.19,0.17,0.21
48149,25247.0,0.24,0.22,0.26
48151,3827.0,0.14,0.06,0.23
